stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
743,"OSTR01","Ostroroga",52.4007473900,16.8824578700,A
1898,"ZYPET02","Żydowo/Pętla",52.5472268800,16.7512925000,B
3629,"WYBAT03","Wysogotowo/Batorowska",52.4127909966,16.7656117886,B
1783,"COSZK01","Chomęcice/Szkoła",52.3336658300,16.7407826600,C
2147,"BBBBK01","Babki/Babicka",52.3134098808,16.9378177959,B
1379,"SWAK01","Św. Antoniego Kościół",52.3639227300,16.9327687900,A
1687,"UE42","Uniwersytet Ekonomiczny",52.4064200000,16.9171400000,A
1412,"OBII01","Os. Orła Białego II",52.3760766600,16.9603524000,A
3814,"ROWIC01","Rosnówko/Wichrowa",52.3066573524,16.7624684276,C
282,"ZLLAG02","Złotniki/Łagiewnicka",52.4914781500,16.8466062100,B
1276,"CZEK02","Czekalskie",52.4048195500,16.9843631500,A
884,"PURON02","Puszczykowo/Rondo Heigelmanna",52.2812281400,16.8512104300,C
2961,"KOWIS01","Komorniki/Wiśniowa",52.3478051800,16.8116992600,B
3810,"WIKOS03","Wiry/Kościół",52.3212000000,16.8513900000,B
636,"ZGOR01","Zgorzelecka",52.4120717800,16.8580344800,A
1974,"BTBRZ01","Batorowo/Brzask",52.4227555400,16.7322823100,C
1323,"GLSZ01","Głuszyna Szkoła",52.3139840300,16.9648432500,A
4275,"OSLP01","Os. Lotnictwa Polskiego",52.4206439432,16.8669519765,A
2381,"DELES02","Dębogóra/Leśna",52.4974469900,17.0919767300,C
2279,"DEKAS01","Dębogóra/Kasztanowa",52.4909536400,17.0956738100,C
3817,"UZKOL02","Uzarzewo/ Przejazd Kolejowy",52.4558389312,17.1201474916,C
329,"SLPRO02","Suchy Las/Promienista",52.4781626300,16.8604308500,B
872,"MORZM01","Mosina/Rzeczypospolitej Mosińskiej",52.2510109700,16.8514883300,C
2114,"KXDRU01","Koninko/Drukarska",52.3194150000,17.0243310000,B
4165,"KOMAL02","Komorniki/Malinowa",52.3469100000,16.8171300000,B
2058,"LKADM01","Lusówko/Admiralska",52.4423930900,16.6340187400,C
997,"SYCO01","Sycowska I",52.3643997500,16.8389831500,A
4508,"DNKLU02","Dymaczewo Nowe/Wspólna",52.2289911400,16.7578363900,C
1424,"BIEL02","Bielniki",52.3944250900,16.9335446300,A
4386,"PLSZA02","Plewiska/Szafran",52.3710300000,16.8035700000,B
433,"RDWA01","Rdestowa",52.4899311000,16.9417111700,A
729,"ROSK01","Rondo Skubiszewskiego",52.3899356513,16.8529470488,A
2366,"BWJOD01","Bolechówko/Jodłowa",52.5189715800,16.9948169500,C
1807,"POGL00","Poznań Główny",52.4029221300,16.9138638200,A
933,"LUWPL04","Luboń/Wojska Polskiego",52.3430438212,16.8745668792,B
1008,"FABI01","Fabianowo",52.3653535900,16.8558235000,A
733,"BULG04","Bułgarska Enea Stadion",52.3949771300,16.8620319900,A
3519,"WROB02","Wróblewskiego",52.3642313000,16.8842616000,A
3674,"MALI02","Malinowa",52.3695900000,16.9109900000,A
1019,"OSIA02","Ostatnia",52.3729373400,16.8664989900,A
516,"RZEP02","Rzepeckiej",52.4549770000,16.8826823700,A
4112,"SKWIO01","Skórzewo/Wiosenna",52.3991530000,16.7823240000,B
1927,"WYWIE03","Wysogotowo/Wierzbowa",52.4137947000,16.7773217100,B
3547,"UE01","Uniwersytet Ekonomiczny",52.4057383633,16.9173638130,A
4175,"PERK01","Perkoza",52.4248090000,17.0650570000,A
703,"ZKSWI01","Zakrzewo/Świerkowa",52.3984719500,16.7163313800,C
4127,"PAWL01","Pawłowicka",52.4781025600,16.7862871300,A
2079,"CDBRZ02","Ceradz Dolny/Brzoza Huby",52.4246251400,16.5448342400,C
339,"LEWI02","Łęgowskiego Wiadukt",52.4631964400,16.8893035600,A
1836,"KISTA02","Kiekrz/Starzyńska",52.4964870000,16.7693270000,B
945,"WILAS04","Wiry/Laskowska",52.3150707727,16.8630559797,B
1318,"BBOSZ02","Babki/Ośrodek Zdrowia",52.3134674000,16.9362469600,B
4038,"RKBUK02","Rokietnica/Bukowa",52.4984590000,16.7342770000,B
362,"HULE01","Hulewiczów",52.4565911000,16.8979252100,A
4332,"GSPAM01","Gołuski/Pamiątkowa",52.3637054408,16.7467368651,C
948,"WIKOS01","Wiry/Kościół",52.3196740061,16.8542752295,B
1877,"NASTA01","Napachanie/Starzyńska",52.4892960000,16.7314650000,B
2938,"FVII02","Fort VII",52.4164834966,16.8707594278,A
799,"URWO01","Urząd Wojewódzki",52.4111032500,16.9190324100,A
1230,"KOBY01","Kobylepole",52.3908454600,17.0182072300,A
1771,"KOWI02","Kowalewicka Wiadukt",52.3623529459,16.8536996845,A
777,"MARS02","Marszałkowska",52.4004990000,16.8639220000,A
2603,"KDREJ02","Kórnik/Reja",52.2534708300,17.0819317500,C
2663,"SCOGR02","Szczodrzykowo/Ogrodowa",52.2834214700,17.1069763900,C
429,"UMTA01","Umultowo",52.4819694900,16.9436187200,A
1900,"ZYPET03","Żydowo/Pętla",52.5470043500,16.7510458300,B
2736,"RBSKO02","Robakowo/Szkolna Rondo",52.3093387000,17.0695154800,B
4367,"MSOSI01","Mościenica/Osiedle",52.2508373677,17.0547419706,C
325,"SLPRZ02","Suchy Las/Os. Przylesie",52.4733187600,16.8979097800,B
3981,"RYCE03","Rycerska",52.4047400000,16.8650610000,A
4393,"CCHA01","Czarnucha",52.4498370700,16.9541986900,A
1580,"TRAU01","Traugutta",52.3855467800,16.9138131100,A
4430,"ARWA02","Aroniowa",52.3614710000,17.0339880000,A
2322,"KVSKR01","Krzyżowniki/Boisko",52.3065438100,17.1315586200,B
2183,"OWKSP04","Owińska/Ks. Piotrowskiego",52.5167176300,16.9755695100,C
2030,"TPCZE01","Tarnowo Pdg/Czereśniowa",52.4666075600,16.6757365800,C
4133,"BEOSR01","Biernatki/Ośrodek",52.2217210000,17.1110350000,C
1022,"SMIE02","Śmiełowska",52.3732651000,16.8767426500,A
1293,"BRSZK01","Borówiec/Szkoła",52.2773756200,17.0473616100,B
1489,"OSLE02","Os. Lecha",52.3895226900,16.9791244300,A
1113,"SLKA03","Słowiańska",52.4273333500,16.9192608700,A
1024,"LESZ01","Leszczyńska",52.3762098000,16.8788445100,A
4342,"SUSZK02","Słupia Wielka/Szkoła",52.2207708088,17.2131053834,C
1149,"STUD02","Studzienna",52.4195420100,16.9646698600,A
1277,"CZEK01","Czekalskie",52.4047970400,16.9844423300,A
2654,"DZPOL01","Dziećmierowo/Polna",52.2593354100,17.0962408000,C
1626,"GLHE72","Głogowska/Hetmańska",52.3906050800,16.8948032700,A
1298,"BRBOR02","Borówiec/Borówkowa",52.2821272100,17.0141312700,B
3014,"RESKR01","Rogalinek/Skrzyżowanie",52.2492735046,16.9000679487,C
519,"TULO01","Tułodzieckiej",52.4524763700,16.8871356900,A
2863,"GWBOR01","Gowarzewo/Borówkowa",52.3702308800,17.1486041600,B
4353,"RBWIE04","Robakowo/Wiejska",52.3102955405,17.0748122568,B
4187,"BIWA01","Biwakowa",52.4746580571,16.7556651909,A
1928,"WYZBO02","Wysogotowo/Zbożowa",52.4170901100,16.7751749500,B
2385,"SDCYB02","Swarzędz/Cybińska",52.4167290000,17.0884440000,B
18,"SWLE41","Św. Leonarda",52.4328200000,16.9113300000,A
534,"LUDO01","Lutycka/Dojazd",52.4408641700,16.9009890200,A
1935,"PMCME02","Przeźmierowo/Cmentarz",52.4170043100,16.7881303600,B
30,"SZYM41","Szymanowskiego",52.4603958500,16.9171552600,A
4348,"BEGAW02","Biernatki/Gawrycha",52.2362271118,17.1026302638,C
4199,"TPTUR01","Tarnowo Pdg/Turyńska",52.4777710000,16.6619510000,C
4337,"XSHUI02","Koszuty/Huby I",52.2366159371,17.1657188473,C
35,"ZNIW42","Żniwna",52.4247660000,16.9268332600,A
1248,"SDKUP02","Swarzędz/Kupiecka",52.3981190000,17.0704560000,B
1052,"SJNZ01","Sempołowskiej",52.3628655300,16.8913227000,A
462,"SARM01","Sarmacka",52.4470172200,16.9277737600,A
1345,"RYDZ01","Rydzowa",52.3343571500,16.9119543700,A
2440,"PKSTA01","Paczkowo/Ogrodowa",52.3961301800,17.1585955000,C
1994,"LWOTO02","Lusowo/Otowska",52.4259554000,16.7150521600,C
815,"DEEC02","Dębiec PKM",52.3710025600,16.9016160500,A
2201,"CEKRE01","Czerwonak/Kręta",52.4740840800,16.9793989300,B
4247,"ZAPKO01","Zalasewo/Polska/Kórnicka",52.3890795800,17.0765536500,B
1563,"KOZAK01","Komorniki/Zakładowa Wirenka",52.3352858900,16.8083921300,B
1759,"KOKSW01","Komorniki/Ks.Wawrzyniaka",52.3471480900,16.8034285300,B
3296,"JAI02","Jasielska I",52.4464170000,16.8979870000,A
3096,"KNKOS01","Konarzewo/Kościelna",52.3349070000,16.7112930000,C
1225,"PIWN01","Piwna",52.3926936100,17.0148841400,A
831,"DENZ02","Dębina",52.3776519000,16.9268052800,A
262,"ZILAS02","Zielątkowo/Las",52.5462284100,16.8001455900,C
2228,"GWTAN01","Tanibórz/Wschód",52.3517446700,17.1469443700,B
2196,"MWKOL01","Miękowo/Kolejowa",52.4988289900,16.9763707800,C
1303,"KALOT01","Kamionki/Lotnicza",52.2851072300,16.9993703300,B
1533,"JARO01","Jarosławska",52.3431891600,16.9853661000,A
431,"LOPI01","Łopianowa",52.4868020500,16.9426238300,A
332,"SLJAG01","Suchy Las/Os. Jagodowe",52.4712284700,16.8684930200,B
2371,"PTCED02","Potasze/Cedrowa",52.5221500000,17.0168403000,C
1925,"WYPKN02","Wysogotowo/Piękna",52.4059193300,16.7861267700,B
1742,"PLSTP01","Plewiska/Straż Pożarna",52.3653270100,16.8079950400,B
4178,"KASTO01","Kamionki/Stokrotkowa",52.2907198300,16.9740476100,B
876,"PUMAJ01","Puszczykowo/3 Maja",52.2720650500,16.8685220900,C
3917,"DEWIA02","Dębogóra/Wiązowa",52.4989976345,17.0761551951,C
2289,"CEZUR02","Czerwonak/Żurawia",52.4674431700,16.9874688400,B
234,"RSTA42","Rondo Starołęka",52.3810055800,16.9435005400,A
1397,"STMA02","Starołęka Mała",52.3761813600,16.9399001600,A
49,"ROSO41","Rondo Solidarności",52.4339826300,16.9379315500,A
2488,"WZMEH02","Wierzenica/Mechowo",52.4408510000,17.0543450000,B
4484,"ZLKA02","Złotnicka",52.4745591200,16.8066673300,A
3669,"TRWYD01","Trzek/Wydzierżewice",52.3473915902,17.1711053580,B
1466,"PILS01","Piłsudskiego",52.3917749100,16.9530540900,A
739,"GROC02","Grochowska",52.3991410000,16.8773100000,A
2044,"RUSZK02","Rumianek/Szkolna",52.4621237800,16.6240799700,C
205,"Z II41","Żegrze II",52.3807026800,16.9659212900,A
2268,"KYBRZ02","Kliny/Brzozowa",52.4898439700,17.0600334800,C
1236,"BORO02","Borówki",52.3896073900,17.0315419500,A
2921,"XRZLO01","Kruszewnia/Złotopolska",52.3761980000,17.1021880000,C
399,"STOI02","Stoińskiego",52.4502145200,16.9271609000,A
4120,"SLPOZ03","Suchy Las/Os. Poziomkowe",52.4692060000,16.8736460000,B
1983,"LWPRZ01","Lusowo/Przylesie",52.4147719400,16.7183908600,C
840,"BKLUB01","Borkowice/Łubinowa",52.2111813986,16.7972372470,C
3344,"SIWIE02","Sierosław/Dworska ",52.4046070000,16.6753940000,C
3960,"OPIA02","Os. Piastowskie",52.3895571818,16.9471740911,A
3185,"WKSZK01","Więckowice/Szkoła",52.3967070000,16.6378490000,C
58,"OGDY41","Ogrody",52.4170536400,16.8824626700,A
2471,"SDTRA01","Swarzędz/Tysiąclecia",52.4024090000,17.0735500000,B
973,"LUSZN01","Luboń/Szkolna",52.3427641783,16.8681030664,B
4467,"WRSZ01","Wrzoska Szpitale",52.4378038864,16.9036687942,A
4472,"WYDLU02","Wysogotowo/Długa",52.4092790000,16.7817830000,B
4118,"SKOGR01","Skórzewo/Ogrodowa",52.3946120000,16.7877460000,B
1813,"WISE04","Wilczak/Serbska",52.4307468300,16.9515943800,A
2137,"KXDZI01","Koninko/Dziennikarska",52.3091129364,17.0163132755,B
4346,"BELAS04","Biernatki/Laskowa",52.2322934551,17.1045339895,C
4395,"RUBI03","Rubież",52.4501360000,16.9502980000,A
1003,"KRKA02","Krzepicka",52.3767922500,16.8417003600,A
564,"KRAJ02","Krajenecka",52.4547254800,16.8432035500,A
1028,"RAKO02","Rakoniewicka",52.3779337800,16.8811918100,A
780,"WOPO02","Wojska Polskiego",52.4275206900,16.8978431400,A
605,"KOLO02","Kołobrzeska",52.4310730000,16.8385071200,A
412,"OSZY02","Os. Zygmunta Starego",52.4602850600,16.9083573400,A
161,"KORN44","Kórnicka",52.3991553500,16.9533801200,A
4330,"PABUR01","Palędzie/Bursztynowa",52.3667940000,16.7389820000,C
2862,"GWTRU02","Gowarzewo/Truskawkowa",52.3669086500,17.1422413300,B
4255,"LEPOG02","Łęczyca/Pogodna",52.3164900000,16.8789600000,B
3221,"LIWIE01","Lisówki/Wieś",52.3213090000,16.6433730000,C
2767,"RODWO01","Rosnówko/Dworcowa",52.2976200000,16.7697700000,C
794,"STRO01","Stróżyńskiego",52.4524870400,16.9032391400,A
67,"BUKO41","Bukowska",52.4100521300,16.8888257200,A
1441,"URMA01","Urząd Marszałkowski",52.4152812800,16.9267934100,A
2293,"KXZDB01","Komorniki gm.Kleszczewo/Zadęby",52.3418204500,17.1119935500,B
1181,"JANI01","Janikowo",52.4364344700,17.0183890100,A
715,"ZONK02","Żonkilowa",52.3868266982,16.8182520173,A
2077,"CDPAR02","Ceradz Dolny/Parkowa",52.4208287700,16.5712571500,C
1062,"OSKO01","Os. Kopernika",52.3855792700,16.8635917600,A
301,"SLSZK01","Suchy Las/Szkoła",52.4763622500,16.8722816600,B
662,"OWCZ01","Owcza",52.4069715800,16.8189420200,A
4458,"GLEB01","Glebowa",52.3584540000,17.0111920000,A
3002,"MOCZA01","Mosina/Czarnokurz",52.2568211207,16.8488444462,C
197,"BYST41","Bystra",52.3709991833,16.9345268592,A
1085,"KRAU71","Krauthofera",52.3875876200,16.8913676500,A
4537,"SKFO02","Skwer Focha",52.3974319100,16.8996306400,A
64,"RJEZ74","Rynek Jeżycki",52.4122250800,16.9056406100,A
83,"MATE71","Matejki",52.4057875800,16.9009328700,A
3248,"MOJEZ01","Mosina/Jeziorna",52.2401513783,16.8285823116,C
2715,"SSNDZ02","Środa Wielkopolska/Niedziałkowskiego/Działki",52.2171795458,17.2786584800,C
4040,"OGDY12","Ogrody",52.4162943761,16.8814143886,A
3715,"DHKLO03","Dachowa/Klonowa",52.2973633200,17.0984031800,B
3070,"LURZE01","Luboń/Rzeczna",52.3469947162,16.9015437050,B
1246,"SDRAC01","Swarzędz/Os. Raczyńskiego",52.3991040000,17.0647120000,B
2396,"JADZ01","Jaryszki/Działki",52.3340673026,17.0187335159,B
1300,"KALIS01","Kamionki/Lisia",52.2840455900,17.0066226900,B
1998,"LWSZK02","Lusowo/Szkoła",52.4333192800,16.7017828600,C
1552,"SPKA01","Spławska",52.3574831700,16.9996995800,A
1016,"URAD01","Uradzka",52.3558237000,16.8589186200,A
3534,"WYSTO01","Wysogotowo/Stolarska",52.4077117100,16.7840276900,B
4351,"PZJAG02","Pierzchno/Jagrol",52.2676386370,17.1478769532,C
3730,"RASTR01","Rabowice/Świerkowe Tarasy",52.3871871700,17.1055079900,C
258,"ZIOSP02","Zielątkowo/OSP",52.5599872100,16.7977223800,C
4139,"GCKA02","Gołężycka",52.3636964243,16.9479414843,A
767,"SZAM02","Szamotulska",52.4044515900,16.8803991000,A
1595,"ZNTK02","ZNTK",52.3922926000,16.9138117600,A
2116,"KXWEZ01","Koninko/Węzeł",52.3217818400,17.0300419400,B
2689,"CMLES02","Czmoń/Leśna",52.1816311950,17.0547714857,C
4166,"KOMAL01","Komorniki/Malinowa",52.3469100000,16.8171300000,B
1522,"RODA02","Rodawska",52.3630699200,16.9967864700,A
2404,"SDRAC03","Swarzędz/Os. Raczyńskiego",52.3999340000,17.0647660000,B
2189,"OWPAR02","Owińska/Parkowa",52.5109763300,16.9777942100,C
3013,"REMOS01","Rogalinek/Mostowa",52.2500780422,16.8980461625,C
1322,"DASZ02","Daszewicka",52.3181933900,16.9540910700,A
723,"JUNI30","Junikowo",52.3835469700,16.8335096200,A
1222,"ZIEM01","Ziemowita",52.4031248000,17.0203630400,A
3617,"JKJAN02","Jankowo/",52.4441853926,17.1693639655,C
2958,"BRKUR02","Borówiec/Kurkowa",52.2811997299,17.0208586051,B
1430,"PLBE02","Pl. Bernardyński",52.4040241900,16.9370262300,A
224,"POKA41","Polanka",52.3967500000,16.9625600000,A
4036,"SYPR02","Sycowska Prologis",52.3591100000,16.8345300000,A
451,"BORA01","Boranta",52.4565857324,16.9513652391,A
3932,"CEBLE01","Czerwonak/Błękitna",52.4646902000,16.9974923500,B
171,"AWF42","AWF",52.3996550000,16.9355200000,A
256,"ZIPOG01","Zielątkowo/Pogodna",52.5600237900,16.8069706400,C
4082,"WSKA01","Wieruszowska",52.3819690837,16.8443876620,A
2848,"TRZE03","Trzebińska",52.3675185700,16.8402906500,A
1014,"KOTO01","Kotowo",52.3592800000,16.8536500000,A
115,"WIER42","Wierzbięcice",52.4017301500,16.9209242000,A
13,"BONN42","Bonin",52.4302063000,16.9106352900,A
820,"MALI01","Malinowa",52.3694780000,16.9099020000,A
2252,"KXOSP02","Komorniki gm.Kleszczewo/OSP",52.3305061600,17.1114584500,B
756,"POLN02","Polna Szpital",52.4092260700,16.8907428300,A
1555,"OLIW02","Oliwkowa",52.3596445700,17.0199592400,A
192,"DEEC41","Dębiec PKM",52.3728856000,16.9031857800,A
2880,"KVWIA01","Krzyżowniki/Wiadukt",52.3109321500,17.1407804500,B
2301,"KEPAL01","Krerowo/Pałac",52.2959357000,17.1947378400,B
418,"UAMG01","UAM Wydział Geografii",52.4641879876,16.9410792174,A
3898,"WLOD42","Włodarska",52.4360035765,16.9470117579,A
2507,"SDFIE01","Swarzędz/Pogodna/Średzka",52.4005350000,17.0842660000,B
92,"RYLA71","Rynek Łazarski",52.3939634477,16.8985036470,A
4341,"SUSZK01","Słupia Wielka/Szkoła",52.2203637533,17.2137104435,C
2879,"KVWIA02","Krzyżowniki/Wiadukt",52.3109020000,17.1405273400,B
1414,"SZII02","Os. Stare Żegrze",52.3806136000,16.9567160600,A
2409,"SDCEH01","Swarzędz/Wrzesińska",52.4093660000,17.0865880000,B
135,"ROSR44","Rondo Śródka",52.4095004300,16.9564208700,A
2275,"WEPET01","Wierzonka/Pętla",52.4780400000,17.0951310000,C
4258,"WIPII02","Wiry/PKM II",52.3148900000,16.8685900000,B
1786,"COSRD02","Chomęcice/Środkowa",52.3315679200,16.7465379500,C
1273,"ZOO02","Nowe Zoo",52.4003671000,16.9928965800,A
57,"PIAT42","Piątkowska",52.4414917400,16.9105875300,A
2111,"KMRYN01","Kaźmierz/Rynek",52.5132944400,16.5831383400,C
4067,"OSKA02","Oświęcimska",52.3540567377,16.9378620686,A
766,"MARC04","Marcelińska",52.4048603400,16.8755535000,A
2124,"KXGRA02","Koninko/Granatowa",52.3069560000,17.0198840000,B
3979,"RYWI71","Rynek Wildecki",52.3929092278,16.9204481437,A
1693,"BUDZ41","Budziszyńska",52.3885462000,16.8497230600,A
992,"SYCH01","Sycowska Centrum Handlowe",52.3541640000,16.8385760000,A
1536,"KRNY02","Krzesiny",52.3412578600,16.9881387800,A
1053,"SJNZ02","Sempołowskiej",52.3633000000,16.8920210000,A
1647,"TEMA01","Termy Maltańskie",52.4055228300,16.9759399300,A
1757,"KOKSM01","Komorniki/Ks.Malinowskiego",52.3392363200,16.8004527700,B
600,"BRAN02","Braniewska",52.4351872600,16.8231796800,A
2606,"KDPRO01","Kórnik/Prowent",52.2411298300,17.0898485800,C
4260,"WIDWO02","Wiry/Dworcowa",52.3120100000,16.8651400000,B
4407,"PLPOG02","Plewiska/Os. Pogodne",52.3628488655,16.8113307200,B
3246,"KSMI01","Księcia Mieszka I",52.4300980437,16.9201529925,A
2035,"TPCEN02","Tarnowo Pdg/Centrum",52.4642180000,16.6637880000,C
3989,"KOTU02","Kościelna Tunel",52.4180684749,16.9064727312,A
438,"BIMLY01","Biedrusko/Młyn",52.5148237600,16.9394120800,B
588,"STOB01","Stobnicka",52.4539974300,16.8010815400,A
2248,"NGOZD01","Nagradowice/Ośrodek Zdrowia",52.3208087900,17.1473302500,B
2856,"GWTRZ01","Gowarzewo/Trzecka",52.3607087300,17.1375000900,B
1517,"LUGA02","Ługańska",52.3714685400,16.9954669000,A
1765,"PLSZK01","Plewiska/Szkoła Nr 1",52.3632100000,16.8070200000,B
3303,"LKKOS02","Lusówko/Kościół ",52.4246940000,16.6443610000,C
3915,"RBNOW01","Robakowo/Nowina",52.2936729937,17.0730561068,B
243,"CHSZK02","Chludowo/Szkoła",52.5561078600,16.8443741700,C
1311,"DAPET01","Daszewice/Pętla",52.2957547000,16.9627815600,B
1618,"CMEN02","Gnieźnieńska Cmentarz",52.4255898600,16.9946559500,A
302,"SLKOS01","Suchy Las/Kościół",52.4731420800,16.8772196700,B
3578,"DETU02","Dębiec Tunel PKM",52.3698352000,16.9029113000,A
2210,"KZZON02","Koziegłowy/Żołnierzy Niezłomnych",52.4484847500,16.9842291500,B
1653,"PUST02","Pusta",52.4102556400,16.9958114800,A
2022,"NAKOK01","Napachanie/Kokoszczyńska",52.4841994816,16.7197305240,B
160,"KORN43","Kórnicka",52.3990164300,16.9534845600,A
70,"RONJ41","Rondo Nowaka-Jeziorańskiego",52.4023512573,16.8882176253,A
1823,"CECME01","Czerwonak/Cmentarz",52.4581666900,16.9955009300,B
4533,"STII01","Strzeszyńska II",52.4488588600,16.8952420300,A
3965,"XOPKP10","Kobylnica/Stacja",52.4457963742,17.0811432515,B
2029,"TPCZE02","Tarnowo Pdg/Czereśniowa",52.4664911900,16.6764292300,C
2135,"KAKLO01","Kamionki/Klonowa",52.2923635111,16.9813673654,B
3610,"WYBAT01","Wysogotowo/Batorowska",52.4137540000,16.7648050000,B
533,"LUTY02","Lutycka",52.4387976400,16.8957417100,A
2388,"GTDOZ01","Gortatowo/Dożynkowa",52.4245940000,17.1025960000,B
63,"PONA71","Polna",52.4142148300,16.8972021400,A
4366,"DZOWW01","Dziećmierowo/Owocowe Wzgórze",52.2687500619,17.0798741011,C
1027,"RAKO01","Rakoniewicka",52.3775167500,16.8803468800,A
978,"LUPBO02","Luboń/Pl. Bojanowskiego",52.3497457016,16.8614916780,B
4496,"DRPRZ01","Drużyna/Piaskowa",52.2113352073,16.8224579228,C
4354,"RBWIE03","Robakowo/Wiejska",52.3105663614,17.0741038938,B
1317,"BBJDW01","Babki/Jednostka Wojskowa",52.3115864386,16.9379506139,B
1370,"ROMI01","Rondo Minikowo",52.3549535600,16.9429748500,A
4320,"MOSTA02","Mosina/Stadion",52.2449703368,16.8409934224,C
2276,"WEPET04","Wierzonka/Pętla",52.4777490000,17.0949170000,C
1155,"GLOW03","Główna",52.4223130200,16.9767435600,A
1408,"OB I01","Os. Orła Białego I",52.3754060900,16.9651236900,A
2167,"BOWOJ01","Bolechowo-Os./Wojska Polskiego",52.5417104200,16.9724615900,C
1475,"LI01","Os. Lecha I",52.3878126200,16.9678225400,A
1948,"PMWIA01","Przeźmierowo/Wiadukt",52.4356255021,16.7863609228,B
